Date,s1,s2,s3,s4,s5,s6,s7,s8,pca_1,pca_2,pca_3,pca_4,labelrock,labelpaper,labelscissors,labelok
2019-06-06 12:06:05.226749897,-0.097560975609756,-1.09756097560976,-1.1219512195122,-1.60975609756098,1.73170731707317,1.34146341463415,-1.02439024390244,-2.07317073170732,-0.028971228453157,0.129130803014147,0.069534147380322,0.024400375557548,0,0,0,1
2019-06-06 12:06:05.226875067,0.575,-0.55,-1,-1.925,2.075,0.85,3.075,-0.125,-0.057529184155193,0.096269370773067,0.125970530821439,-0.068502030201049,0,0,0,1
2019-06-06 12:06:05.226999998,0.153846153846154,-0.743589743589744,-0.974358974358974,-0.256410256410256,1.02564102564103,-2.23076923076923,-0.871794871794872,1.1025641025641,0.009933980319107,-0.023650576787078,0.037039333682798,-0.023870055570727,0,0,0,1
2019-06-06 12:06:05.227124929,-0.975,-1.15,-1.225,-0.35,-0.8,0.175,-0.275,1.6,0.000133769450533,0.030393225156045,0.00706499880011,-0.07781012112007,0,0,0,1
2019-06-06 12:06:05.227250099,0.9,-0.525,-0.825,-1.3,2.775,2.65,-3.1,0.825,-0.119995786184221,0.078122966633134,0.098604137223055,0.048294888359885,0,0,0,1
2019-06-06 12:06:05.227375031,2.29268292682927,-0.414634146341463,-1.07317073170732,-0.853658536585366,-0.195121951219512,-0.975609756097561,5.39024390243903,2.36585365853658,-0.030210874305682,-0.034799529204937,0.168877100200127,-0.154231165189869,0,0,0,1
2019-06-06 12:06:05.227499962,2.2,-0.525,-0.45,0.7,1.15,2.75,-1.8,3.225,-0.193971405858105,-0.102563358811104,0.063848902630037,0.005133650563118,0,0,0,1
2019-06-06 12:06:05.227624893,-0.717948717948718,-0.897435897435897,-1.17948717948718,-1.30769230769231,-1.58974358974359,1.97435897435897,-8.58974358974359,-3.66666666666667,0.059472699242466,0.106805119016629,0.015904445146476,0.147343473237206,0,0,0,1
2019-06-06 12:06:05.227750063,-2.775,-1.15,-1.125,-0.975,-1.075,-2.525,-8.95,-3.4,0.167598367292624,0.070530181683844,-0.081819097919064,0.133151201964094,0,0,0,1
2019-06-06 12:06:05.227874994,2.8,-0.475,-0.35,0.175,0.5,-0.35,-4.425,2.025,-0.077132730182075,-0.133876556401907,0.091906572809873,0.063569799190574,0,0,0,1
2019-06-06 12:06:05.227999926,-1.21951219512195,-1.78048780487805,-1.48780487804878,-2,1.39024390243902,2.82926829268293,1.41463414634146,-1.65853658536585,-0.03594126549886,0.22069846159318,0.057160980882044,-0.052846070337832,0,0,0,1
2019-06-06 12:06:05.228125095,-0.15,-1.2,-0.675,-0.825,-0.25,1.8,0.025,-1.15,-0.05783129419202,0.021916191873114,0.018909343765097,-0.014846658625872,0,0,0,1
2019-06-06 12:06:05.228250027,1,0.307692307692308,-0.461538461538462,-0.538461538461538,1,3.30769230769231,-0.897435897435897,-1.82051282051282,-0.144179702655683,-0.017779356615839,0.057744433519618,0.054438804398437,0,0,0,1
2019-06-06 12:06:05.228374958,1.5,-0.275,-1.1,-0.825,3.725,3.1,-1.025,-0.8,-0.154254432747046,0.09638912289097,0.116764724903714,0.053745952746738,0,0,0,1
2019-06-06 12:06:05.228499889,3.15,0.875,-0.625,-0.575,0.925,1.75,-0.825,-1.675,-0.110022858112605,-0.056604915485594,0.157305639677493,0.066232123630452,0,0,0,1
2019-06-06 12:06:05.228625059,-2.90243902439024,-0.878048780487805,-0.317073170731707,-0.024390243902439,-3.63414634146342,-7.02439024390244,-1.39024390243902,-1.41463414634146,0.215139445968093,-0.167277877147857,-0.137932274864824,-0.041838677097509,0,0,0,1
2019-06-06 12:06:05.228749990,-1.525,-1.55,-1.625,-0.281425891181989,8.05,5.35,-0.9,-0.325,-0.259804913179485,0.270735921930713,-0.007015191296451,0.052667588114755,0,0,0,1
2019-06-06 12:06:05.228874922,3.94871794871795,-0.461538461538462,-0.871794871794872,-0.538461538461538,4.7948717948718,2,-0.230769230769231,-0.641025641025641,-0.18382982734146,0.030137909922828,0.188092307621865,0.075044296144311,0,0,0,1
